Abkhazian (ab)
Afar (aa)
Afrikaans (af)
Akan (ak)
Albanian (sq)
Amharic (am)
Arabic (ar)
Aragonese (an)
Armenian (hy)
Assamese (as)
Avaric (av)
Avestan (ae)
Aymara (ay)
Azerbaijani (az)
Bambara (bm)
Bashkir (ba)
Basque (eu)
Belarusian (be)
Bengali (bn)
Bihari (bh)
Bislama (bi)
Bosnian (bs)
Breton (br)
Bulgarian (bg)
Burmese (my)
Catalan (ca)
Chamorro (ch)
Chechen (ce)
Chinese (zh)
Chuvash (cv)
Cornish (kw)
Corsican (co)
Cree (cr)
Croatian (hr)
Czech (cs)
Danish (da)
Dutch (nl)
Dzongkha (dz)
English (en)
Esperanto (eo)
Estonian (et)
Ewe (ee)
Faroese (fo)
Fijian (fj)
Finnish (fi)
French (fr)
Fulah (ff)
Galician (gl)
Ganda (lg)
Georgian (ka)
German (de)
Greek (el)
Guarani (gn)
Gujarati (gu)
Hausa (ha)
Hebrew (he)
Herero (hz)
Hindi (hi)
Hiri Motu (ho)
Hungarian (hu)
Icelandic (is)
Ido (io)
Igbo (ig)
Indonesian (id)
Interlingua (ia)
Inuktitut (iu)
Inupiaq (ik)
Irish (ga)
Italian (it)
Japanese (ja)
Javanese (jv)
Kannada (kn)
Kanuri (kr)
Kashmiri (ks)
Kazakh (kk)
Komi (kv)
Kongo (kg)
Korean (ko)
Kurdish (ku)
Lao (lo)
Latin (la)
Latvian (lv)
Lingala (ln)
Lithuanian (lt)
Macedonian (mk)
Malagasy (mg)
Malay (ms)
Malayalam (ml)
Maltese (mt)
Manx (gv)
Maori (mi)
Marathi (mr)
Marshallese (mh)
Mongolian (mn)
Nauru (na)
Ndonga (ng)
Nepali (ne)
Norwegian (no)
Ojibwa (oj)
Oriya (or)
Oromo (om)
Pali (pi)
Persian (fa)
Polish (pl)
Portuguese (pt)
Quechua (qu)
Romansh (rm)
Rundi (rn)
Russian (ru)
Samoan (sm)
Sango (sg)
Sanskrit (sa)
Sardinian (sc)
Serbian (sr)
Shona (sn)
Sindhi (sd)
Slovak (sk)
Slovenian (sl)
Somali (so)
Spanish (es)
Sundanese (su)
Swahili (sw)
Swati (ss)
Swedish (sv)
Tagalog (tl)
Tahitian (ty)
Tajik (tg)
Tamil (ta)
Tatar (tt)
Telugu (te)
Thai (th)
Tibetan (bo)
Tigrinya (ti)
Tsonga (ts)
Tswana (tn)
Turkish (tr)
Turkmen (tk)
Twi (tw)
Ukrainian (uk)
Urdu (ur)
Uzbek (uz)
Venda (ve)
Vietnamese (vi)
Volapük (vo)
Walloon (wa)
Welsh (cy)
Wolof (wo)
Xhosa (xh)
Yiddish (yi)
Yoruba (yo)
Zulu (zu)
